pos,corr_resp,thisN,thisTrialN,thisRepN,kev_resp.kevs,kev_resp.corr,kev_resp.rt,kev_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,kev_resp.started,trial.stopped,trials.kev_resp.kevs,trials.kev_resp.corr,trials.kev_resp.rt,trials.kev_resp.duration,trials_2.kev_resp.kevs,trials_2.kev_resp.corr,trials_2.kev_resp.rt,trials_2.kev_resp.duration,participant,session,date,expName,expVersion,psvchopvVersion,frameRate,expStart
-50,x,0,0,0,v,0,1.7312508,None,0,0,0,0,,,,,0.0273748,,0.0176588,0.0273748,1.0107283,1.0107283,1.0107283,1.0107283,1.0272545,2.0103732,2.0103732,3.7530797,v,0,1.7312508,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
150,v,1,1,0,z,0,1.6000552,None,0,1,1,1,,,,,3.7610796,,3.7533006,3.7610796,4.7625104,4.7625104,4.7625104,4.7625104,4.7625104,5.7613075,5.7613075,7.3645898,z,0,1.6000552,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
50,c,2,2,0,c,1,1.8169393,None,0,2,2,2,,,,,7.3782867,,7.3648211,7.3782867,8.3782901,8.3782901,8.3782901,8.3782901,8.3782901,9.3783932,9.3783932,11.2001572,c,1,1.8169393,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
-150,z,3,3,0,x,0,2.0342059,None,0,3,3,3,,,,,11.2109532,,11.2003988,11.2109532,12.2119885,12.2119885,12.2119885,12.2119885,12.2119885,13.2131353,13.2131353,15.2491977,x,0,2.0342059,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
-50,x,4,0,1,v,0,126.2321856,None,1,0,4,0,,,,,15.2628012,,15.2494894,15.2628012,16.2610976,16.2610976,16.2610976,16.2610976,16.2610976,17.2617407,17.2617407,143.510058,v,0,126.2321856,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
150,v,5,1,1,z,0,1.3681394,None,1,1,5,1,,,,,143.5255088,,143.5102362,143.5255088,144.5103166,144.5103166,144.5103166,144.5103166,144.526338,145.5086634,145.5086634,146.8941187,z,0,1.3681394,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
50,c,6,2,1,v,0,27.5011511,None,1,2,6,2,,,,,146.9095035,,146.8943495,146.9095035,147.9086689,147.9086689,147.9086689,147.9086689,147.9086689,148.8930411,148.8930411,176.3959913,v,0,27.5011511,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
-150,z,7,3,1,c,0,0.0440086,None,1,3,7,3,,,,,176.4103399,,176.3962555,176.4103399,177.4096529,177.4096529,177.4096529,177.4096529,177.4096529,178.4098192,178.4098192,178.4630272,c,0,0.0440086,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
-50,x,8,0,2,c,0,0.3801306,None,2,0,8,0,,,,,178.4764965,,178.4632778,178.4764965,179.4770001,179.4770001,179.4770001,179.4770001,179.4770001,180.4766527,180.4766527,180.8629896,c,0,0.3801306,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
150,v,9,1,2,z,0,0.2899065,None,2,1,9,1,,,,,180.8769554,,180.8632142,180.8769554,181.8760197,181.8760197,181.8760197,181.8760197,181.8760197,182.8761545,182.8761545,183.1786874,z,0,0.2899065,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
50,c,10,2,2,c,1,1.6396245,None,2,2,10,2,,,,,183.192793,,183.178911,183.192793,184.1929601,184.1929601,184.1929601,184.1929601,184.1929601,185.1923803,185.1923803,186.8448335,c,1,1.6396245,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
-150,z,11,3,2,x,0,0.9168137,None,2,3,11,3,,,,,186.8593878,,186.8450375,186.8593878,187.8591574,187.8591574,187.8591574,187.8591574,187.8591574,188.859581,188.859581,189.7796993,x,0,0.9168137,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
-50,x,12,0,3,v,0,0.6132313,None,3,0,12,0,,,,,189.7927079,,189.7799146,189.7927079,190.7926546,190.7926546,190.7926546,190.7926546,190.7926546,191.7922773,191.7922773,192.4139351,v,0,0.6132313,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
150,v,13,1,3,z,0,1.2619558,None,3,1,13,1,,,,,192.4259037,,192.4141766,192.4259037,193.4261548,193.4261548,193.4261548,193.4261548,193.4261548,194.4268077,194.4268077,195.6948953,z,0,1.2619558,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
50,c,14,2,3,c,1,2.1587235,None,3,2,14,2,,,,,195.7097545,,195.6951234,195.7097545,196.7094289,196.7094289,196.7094289,196.7094289,196.7094289,197.6924015,197.6924015,199.8623865,c,1,2.1587235,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
-150,z,15,3,3,x,0,1.3986556,None,3,3,15,3,,,,,199.8768046,,199.8626846,199.8768046,200.8762861,200.8762861,200.8762861,200.8762861,200.8762861,201.8762742,201.8762742,203.2801896,x,0,1.3986556,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
-50,x,16,0,4,v,0,1.2101525,None,4,0,16,0,,,,,203.2926599,,203.2804478,203.2926599,204.2918363,204.2918363,204.2918363,204.2918363,204.2918363,205.2917924,205.2917924,206.512726,v,0,1.2101525,None,,,,,1,1,2025-10-02_19h29.32.885,Motor Sequence,,2025.1.1,59.93770076,2025-10-02 19h30.31.288865 +0530
