pos,corr_resp,thisN,thisTrialN,thisRepN,kev_resp.kevs,kev_resp.corr,kev_resp.rt,kev_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,kev_resp.started,trial.stopped,trials.kev_resp.kevs,trials.kev_resp.corr,trials.kev_resp.rt,trials.kev_resp.duration,trials_2.kev_resp.kevs,trials_2.kev_resp.corr,trials_2.kev_resp.rt,trials_2.kev_resp.duration,participant,session,date,expName,expVersion,psvchopvVersion,frameRate,expStart
-50,x,0,0,0,v,0,1.2341275,None,0,0,0,0,,,,,0.0334722,,0.0252863,0.0334722,1.001348,1.001348,1.001348,1.001348,1.034482,2.0001037,2.0001037,3.2517226,v,0,1.2341275,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,1,1,0,z,0,0.8892942,None,0,1,1,1,,,,,3.2670124,,3.2519695,3.2670124,4.2520458,4.2520458,4.2520458,4.2520458,4.267723,5.2510587,5.2510587,6.1541824,z,0,0.8892942,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,2,2,0,c,1,1.5819057,None,0,2,2,2,,,,,6.1683888,,6.1544851,6.1683888,7.1672014,7.1672014,7.1672014,7.1672014,7.1672014,8.1681466,8.1681466,9.7550517,c,1,1.5819057,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,3,3,0,x,0,0.7606524,None,0,3,3,3,,,,,9.7680721,,9.7553268,9.7680721,10.76753,10.76753,10.76753,10.76753,10.76753,11.7680078,11.7680078,12.5379299,x,0,0.7606524,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,4,0,1,v,0,0.7848637,None,1,0,4,0,,,,,12.5518866,,12.5382272,12.5518866,13.5502643,13.5502643,13.5502643,13.5502643,13.5666572,14.5509599,14.5509599,15.3393861,v,0,0.7848637,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,5,1,1,z,0,1.7651088,None,1,1,5,1,,,,,15.3508961,,15.3397198,15.3508961,16.3511483,16.3511483,16.3511483,16.3511483,16.3511483,17.3511952,17.3511952,19.1215423,z,0,1.7651088,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,6,2,1,c,1,0.2919259,None,1,2,6,2,,,,,19.1343593,,19.1218573,19.1343593,20.1344141,20.1344141,20.1344141,20.1344141,20.1344141,21.1340259,21.1340259,21.4378292,c,1,0.2919259,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,7,3,1,x,0,0.2980111,None,1,3,7,3,,,,,21.4511969,,21.4381504,21.4511969,22.4512943,22.4512943,22.4512943,22.4512943,22.4512943,23.4512436,23.4512436,23.7561898,x,0,0.2980111,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,8,0,2,v,0,0.4276263,None,2,0,8,0,,,,,23.7677681,,23.756496,23.7677681,24.7691183,24.7691183,24.7691183,24.7691183,24.7691183,25.7677836,25.7677836,26.2050024,v,0,0.4276263,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,9,1,2,z,0,2.0443714,None,2,1,9,1,,,,,26.2182275,,26.2053039,26.2182275,27.2174932,27.2174932,27.2174932,27.2174932,27.2174932,28.2180937,28.2180937,30.2707176,z,0,2.0443714,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,10,2,2,c,1,0.3286888,None,2,2,10,2,,,,,30.2843684,,30.27103,30.2843684,31.2834939,31.2834939,31.2834939,31.2834939,31.2834939,32.2840151,32.2840151,32.6205911,c,1,0.3286888,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,11,3,2,x,0,0.2901035,None,2,3,11,3,,,,,32.6352828,,32.620918,32.6352828,33.633939,33.633939,33.633939,33.633939,33.633939,34.6341322,34.6341322,34.9380541,x,0,0.2901035,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,12,0,3,v,0,0.4506599,None,3,0,12,0,,,,,34.9514218,,34.9383909,34.9514218,35.9504334,35.9504334,35.9504334,35.9504334,35.9504334,36.9510554,36.9510554,37.4049092,v,0,0.4506599,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,13,1,3,z,0,2.2079242,None,3,1,13,1,,,,,37.4177923,,37.405212,37.4177923,38.4182816,38.4182816,38.4182816,38.4182816,38.4182816,39.4177949,39.4177949,41.6347767,z,0,2.2079242,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,14,2,3,c,1,0.3286806,None,3,2,14,2,,,,,41.6504985,,41.6349746,41.6504985,42.6343006,42.6343006,42.6343006,42.6343006,42.6506311,43.6342499,43.6342499,43.9706043,c,1,0.3286806,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,15,3,3,x,0,0.2978931,None,3,3,15,3,,,,,43.9849408,,43.9709038,43.9849408,44.9832643,44.9832643,44.9832643,44.9832643,44.999348,45.984405,45.984405,46.2866968,x,0,0.2978931,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,16,0,4,v,0,0.2595397,None,4,0,16,0,,,,,46.3008016,,46.2869773,46.3008016,47.3007985,47.3007985,47.3007985,47.3007985,47.3007985,48.3005585,48.3005585,48.5717329,v,0,0.2595397,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,17,1,4,z,0,0.3015672,None,4,1,17,1,,,,,48.5850884,,48.5721054,48.5850884,49.5838536,49.5838536,49.5838536,49.5838536,49.5838536,50.5842764,50.5842764,50.8888625,z,0,0.3015672,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,18,2,4,c,1,0.3876919,None,4,2,18,2,,,,,50.9011165,,50.8892023,50.9011165,51.900549,51.900549,51.900549,51.900549,51.900549,52.9006142,52.9006142,53.2894415,c,1,0.3876919,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,19,3,4,x,0,0.3537301,None,4,3,19,3,,,,,53.3008435,,53.2897653,53.3008435,54.3003121,54.3003121,54.3003121,54.3003121,54.3003121,55.3006817,55.3006817,55.6704226,x,0,0.3537301,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,20,0,5,v,0,0.2840107,None,5,0,20,0,,,,,55.6840298,,55.6707003,55.6840298,56.6847688,56.6847688,56.6847688,56.6847688,56.6847688,57.6823448,57.6823448,57.9691835,v,0,0.2840107,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,21,1,5,z,0,0.6504,None,5,1,21,1,,,,,57.9828016,,57.9694755,57.9828016,58.9824423,58.9824423,58.9824423,58.9824423,58.9824423,59.9830408,59.9830408,60.635519,z,0,0.6504,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,22,2,5,c,1,0.2326145,None,5,2,22,2,,,,,60.6494757,,60.6357825,60.6494757,61.6499083,61.6499083,61.6499083,61.6499083,61.6499083,62.6492718,62.6492718,62.886909,c,1,0.2326145,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,23,3,5,x,0,0.1446028,None,5,3,23,3,,,,,62.9002108,,62.8871981,62.9002108,63.900324,63.900324,63.900324,63.900324,63.900324,64.9003838,64.9003838,65.0542475,x,0,0.1446028,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,24,0,6,v,0,0.2552968,None,6,0,24,0,,,,,65.0677008,,65.0545845,65.0677008,66.066767,66.066767,66.066767,66.066767,66.066767,67.0669006,67.0669006,67.3352828,v,0,0.2552968,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,25,1,6,z,0,0.2718057,None,6,1,25,1,,,,,67.3503225,,67.3355176,67.3503225,68.3343102,68.3343102,68.3343102,68.3343102,68.3503211,69.3341269,69.3341269,69.6198771,z,0,0.2718057,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,26,2,6,c,1,1.1280547,None,6,2,26,2,,,,,69.6344676,,69.6201614,69.6344676,70.6349281,70.6349281,70.6349281,70.6349281,70.6349281,71.6336923,71.6336923,72.7706503,c,1,1.1280547,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,27,3,6,x,0,0.6802561,None,6,3,27,3,,,,,72.7839514,,72.7710112,72.7839514,73.7832829,73.7832829,73.7832829,73.7832829,73.7989028,74.784066,74.784066,75.4711754,x,0,0.6802561,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,28,0,7,v,0,0.2746857,None,7,0,28,0,,,,,75.4842603,,75.4715718,75.4842603,76.4841549,76.4841549,76.4841549,76.4841549,76.4841549,77.4826902,77.4826902,77.7705914,v,0,0.2746857,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,29,1,7,z,0,0.3175504,None,7,1,29,1,,,,,77.7841846,,77.770853,77.7841846,78.783773,78.783773,78.783773,78.783773,78.783773,79.7839249,79.7839249,80.1051338,z,0,0.3175504,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,30,2,7,c,1,0.2679515,None,7,2,30,2,,,,,80.1169097,,80.1054438,80.1169097,81.1169667,81.1169667,81.1169667,81.1169667,81.1169667,82.1170717,82.1170717,82.3880879,c,1,0.2679515,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,31,3,7,x,0,0.3918104,None,7,3,31,3,,,,,82.4010436,,82.3884014,82.4010436,83.3998578,83.3998578,83.3998578,83.3998578,83.3998578,84.3997933,84.3997933,84.804321,x,0,0.3918104,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,32,0,8,v,0,0.3986941,None,8,0,32,0,,,,,84.8170256,,84.8046167,84.8170256,85.8163796,85.8163796,85.8163796,85.8163796,85.8163796,86.8164833,86.8164833,87.2234334,v,0,0.3986941,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,33,1,8,z,0,0.598037,None,8,1,33,1,,,,,87.2337563,,87.2237394,87.2337563,88.2332195,88.2332195,88.2332195,88.2332195,88.2332195,89.2335224,89.2335224,89.834783,z,0,0.598037,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,34,2,8,c,1,0.2813182,None,8,2,34,2,,,,,89.8496745,,89.8349723,89.8496745,90.8336457,90.8336457,90.8336457,90.8336457,90.8506022,91.8492324,91.8492324,92.1377093,c,1,0.2813182,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,35,3,8,x,0,0.2895343,None,8,3,35,3,,,,,92.1502962,,92.1380527,92.1502962,93.1502856,93.1502856,93.1502856,93.1502856,93.1502856,94.1505979,94.1505979,94.4537547,x,0,0.2895343,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,36,0,9,v,0,0.2652876,None,9,0,36,0,,,,,94.4672924,,94.4540856,94.4672924,95.4669956,95.4669956,95.4669956,95.4669956,95.4669956,96.4672826,96.4672826,96.7382992,v,0,0.2652876,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,37,1,9,z,0,0.2756593,None,9,1,37,1,,,,,96.7504992,,96.7386225,96.7504992,97.7500996,97.7500996,97.7500996,97.7500996,97.7500996,98.7498303,98.7498303,99.0373598,z,0,0.2756593,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
50,c,38,2,9,c,1,0.0066847,None,9,2,38,2,,,,,99.0503233,,99.0376951,99.0503233,100.0507378,100.0507378,100.0507378,100.0507378,100.0507378,101.0506047,101.0506047,101.0696278,c,1,0.0066847,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-150,z,39,3,9,x,0,0.2668978,None,9,3,39,3,,,,,101.0839942,,101.0699151,101.0839942,102.0826625,102.0826625,102.0826625,102.0826625,102.0826625,103.0836983,103.0836983,103.3528044,x,0,0.2668978,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
-50,x,40,0,10,v,0,0.2429925,None,10,0,40,0,,,,,103.3670602,,103.3530245,103.3670602,104.3670293,104.3670293,104.3670293,104.3670293,104.3670293,105.3665135,105.3665135,105.6200576,v,0,0.2429925,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
150,v,41,1,10,z,0,0.5128306,None,10,1,41,1,,,,,105.633422,,105.6203544,105.633422,106.6340051,106.6340051,106.6340051,106.6340051,106.6340051,107.633725,107.633725,108.1540074,z,0,0.5128306,None,,,,,3,1,2025-10-03_16h12.56.243,Motor Sequence,,2025.1.1,60.58755386,2025-10-03 16h13.02.580018 +0530
