thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.4046296296296296)],[np.float64(0.07685185185185185)],[1],[0],[0],[1.551578599959612],['target'],0,0,0,0,0.029198799980804324,,10,0.021067399997264147,0.029198799980804324,0.029198799980804324,0.021086299791932106,1.5727250000927597,[np.float64(0.4046296296296296)],[np.float64(0.07685185185185185)],[1],[0],[0],[1.551578599959612],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
1,0,1,[np.float64(0.06296296296296296)],[np.float64(-0.12222222222222222)],[1],[0],[0],[1.2176724998280406],['target'],1,0,1,0,1.5948994001373649,,10,1.589008599985391,1.5948994001373649,1.5948994001373649,0.016129399882629514,2.806760200066492,[np.float64(0.06296296296296296)],[np.float64(-0.12222222222222222)],[1],[0],[0],[1.2176724998280406],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
2,0,2,[np.float64(-0.3675925925925926)],[np.float64(-0.12222222222222222)],[1],[0],[0],[1.2920351000502706],['target'],2,0,2,0,2.819360400084406,,5,2.814570000162348,2.819360400084406,2.819360400084406,0.007643799996003509,4.106712199980393,[np.float64(-0.3675925925925926)],[np.float64(-0.12222222222222222)],[1],[0],[0],[1.2920351000502706],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
3,0,3,[np.float64(-0.2601851851851852)],[np.float64(0.2064814814814815)],[1],[0],[0],[1.1531642000190914],['target'],3,0,3,0,4.128653299994767,,5,4.121730400016531,4.128653299994767,4.128653299994767,0.01486009988002479,5.274997300002724,[np.float64(-0.2601851851851852)],[np.float64(0.2064814814814815)],[1],[0],[0],[1.1531642000190914],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
4,0,4,[np.float64(0.3333333333333333)],[np.float64(-0.1925925925925926)],[1],[0],[0],[1.4415325000882149],['target'],4,0,4,0,5.288656000047922,,5,5.284554100129753,5.288656000047922,5.288656000047922,0.00937239988707006,6.726206500083208,[np.float64(0.3333333333333333)],[np.float64(-0.1925925925925926)],[1],[0],[0],[1.4415325000882149],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
5,0,5,[np.float64(0.07777777777777778)],[np.float64(0.48148148148148145)],[1],[0],[0],[1.3717791000381112],['target'],5,0,5,0,6.739671600051224,,5,6.7356235999614,6.739671600051224,6.739671600051224,0.00921679986640811,8.107491800095886,[np.float64(0.07777777777777778)],[np.float64(0.48148148148148145)],[1],[0],[0],[1.3717791000381112],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
6,0,6,[np.float64(-0.4740740740740741)],[np.float64(0.17685185185185184)],[1],[0],[0],[1.1584028000943363],['target'],6,0,6,0,8.121807100018486,,5,8.117544200038537,8.121807100018486,8.121807100018486,0.009906799998134375,9.276053300127387,[np.float64(-0.4740740740740741)],[np.float64(0.17685185185185184)],[1],[0],[0],[1.1584028000943363],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
7,0,7,[np.float64(0.18611111111111112)],[np.float64(0.05092592592592592)],[1],[0],[0],[2.1948007000610232],['target'],7,0,7,0,9.29738870006986,,10,9.291507299989462,9.29738870006986,9.29738870006986,0.015256399987265468,11.48640020005405,[np.float64(0.18611111111111112)],[np.float64(0.05092592592592592)],[1],[0],[0],[2.1948007000610232],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
8,0,8,[np.float64(0.4648148148148148)],[np.float64(0.014814814814814815)],[1],[0],[0],[1.7908632999751717],['target'],8,0,8,0,11.507079500006512,,10,11.501268899999559,11.507079500006512,11.507079500006512,0.014663599897176027,13.292230900144204,[np.float64(0.4648148148148148)],[np.float64(0.014814814814814815)],[1],[0],[0],[1.7908632999751717],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
9,0,9,[np.float64(0.24259259259259258)],[np.float64(-0.4777777777777778)],[1],[0],[0],[2.078931199852377],['target'],9,0,9,0,13.312753800069913,,10,13.306873900117353,13.312753800069913,13.312753800069913,0.01444170018658042,15.38585660001263,[np.float64(0.24259259259259258)],[np.float64(-0.4777777777777778)],[1],[0],[0],[2.078931199852377],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
10,0,10,[np.float64(-0.46944444444444444)],[np.float64(0.11018518518518519)],[1],[0],[0],[1.4745338999200612],['target'],10,0,10,0,15.405679699964821,,10,15.399566000094637,15.405679699964821,15.405679699964821,0.013627400156110525,16.87419719994068,[np.float64(-0.46944444444444444)],[np.float64(0.11018518518518519)],[1],[0],[0],[1.4745338999200612],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
11,0,11,[np.float64(-0.387037037037037)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.3961680999491364],['target'],11,0,11,0,16.89735949994065,,10,16.89145820005797,16.89735949994065,16.89735949994065,0.017108799889683723,18.287735200021416,[np.float64(-0.387037037037037)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.3961680999491364],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
12,0,12,[np.float64(0.2953703703703704)],[np.float64(-0.2657407407407407)],[1],[0],[0],[1.398379199905321],['target'],12,0,12,0,18.312847200082615,,10,18.30598539998755,18.312847200082615,18.312847200082615,0.018034999957308173,19.704431500053033,[np.float64(0.2953703703703704)],[np.float64(-0.2657407407407407)],[1],[0],[0],[1.398379199905321],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
13,0,13,[np.float64(0.31574074074074077)],[np.float64(-0.2712962962962963)],[1],[0],[0],[1.3530188000295311],['target'],13,0,13,0,19.725244200089946,,10,19.719026900129393,19.725244200089946,19.725244200089946,0.01445279992185533,21.072143000084907,[np.float64(0.31574074074074077)],[np.float64(-0.2712962962962963)],[1],[0],[0],[1.3530188000295311],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
14,0,14,[np.float64(-0.4324074074074074)],[np.float64(-0.31574074074074077)],[1],[0],[0],[1.4039348000660539],['target'],14,0,14,0,21.087438400136307,,5,21.083120200084522,21.087438400136307,21.087438400136307,0.010771699948236346,22.487238200148568,[np.float64(-0.4324074074074074)],[np.float64(-0.31574074074074077)],[1],[0],[0],[1.4039348000660539],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
15,0,15,[np.float64(-0.337037037037037)],[np.float64(0.2814814814814815)],[1],[0],[0],[1.3620730000548065],['target'],15,0,15,0,22.501858599949628,,5,22.49682560004294,22.501858599949628,22.501858599949628,0.009367900202050805,23.858984099933878,[np.float64(-0.337037037037037)],[np.float64(0.2814814814814815)],[1],[0],[0],[1.3620730000548065],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
16,0,16,[np.float64(-0.30925925925925923)],[np.float64(-0.38333333333333336)],[1],[0],[0],[1.7162230000831187],['target'],16,0,16,0,23.880860000150278,,10,23.87444490008056,23.880860000150278,23.880860000150278,0.01533340010792017,25.59078860003501,[np.float64(-0.30925925925925923)],[np.float64(-0.38333333333333336)],[1],[0],[0],[1.7162230000831187],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
17,0,17,[np.float64(-0.30648148148148147)],[np.float64(-0.39351851851851855)],[1],[0],[0],[1.486490299925208],['target'],17,0,17,0,25.60552510013804,,5,25.601114799967036,25.60552510013804,25.60552510013804,0.01008990011177957,27.08769980003126,[np.float64(-0.30648148148148147)],[np.float64(-0.39351851851851855)],[1],[0],[0],[1.486490299925208],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
18,0,18,[np.float64(0.1824074074074074)],[np.float64(-0.2)],[1],[0],[0],[1.2580136999022216],['target'],18,0,18,0,27.101637300103903,,5,27.09605970000848,27.101637300103903,27.101637300103903,0.00822610012255609,28.354240600019693,[np.float64(0.1824074074074074)],[np.float64(-0.2)],[1],[0],[0],[1.2580136999022216],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
19,0,19,[np.float64(-0.48055555555555557)],[np.float64(0.06388888888888888)],[1],[0],[0],[1.1588837001472712],['target'],19,0,19,0,28.369731000158936,,5,28.36543729994446,28.369731000158936,28.369731000158936,0.010930699994787574,29.52445419994183,[np.float64(-0.48055555555555557)],[np.float64(0.06388888888888888)],[1],[0],[0],[1.1588837001472712],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
20,0,20,[np.float64(-0.4398148148148148)],[np.float64(0.4787037037037037)],[1],[0],[0],[1.5711999998893589],['target'],20,0,20,0,29.539906200021505,,5,29.535352800041437,29.539906200021505,29.539906200021505,0.010685999877750874,31.106674500042573,[np.float64(-0.4398148148148148)],[np.float64(0.4787037037037037)],[1],[0],[0],[1.5711999998893589],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
21,0,21,[np.float64(0.46296296296296297)],[np.float64(0.45185185185185184)],[1],[0],[0],[1.2239890999626368],['target'],21,0,21,0,31.12242710008286,,5,31.118135900003836,31.12242710008286,31.12242710008286,0.011262200074270368,32.34224010002799,[np.float64(0.46296296296296297)],[np.float64(0.45185185185185184)],[1],[0],[0],[1.2239890999626368],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
22,0,22,[np.float64(-0.475)],[np.float64(-0.010185185185185186)],[1],[0],[0],[1.3840256999246776],['target'],22,0,22,0,32.35620500007644,,5,32.35180380009115,32.35620500007644,32.35620500007644,0.009373900014907122,33.73591880011372,[np.float64(-0.475)],[np.float64(-0.010185185185185186)],[1],[0],[0],[1.3840256999246776],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
23,0,23,[np.float64(0.062037037037037036)],[np.float64(-0.24074074074074073)],[1],[0],[0],[1.2244964998681098],['target'],23,0,23,0,33.75175249995664,,5,33.74662680015899,33.75175249995664,33.75175249995664,0.010568299796432257,34.971179800108075,[np.float64(0.062037037037037036)],[np.float64(-0.24074074074074073)],[1],[0],[0],[1.2244964998681098],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
24,0,24,[np.float64(0.1574074074074074)],[np.float64(-0.3685185185185185)],[1],[0],[0],[1.3326586000621319],['target'],24,0,24,0,34.99517680006102,,10,34.98879440012388,34.99517680006102,34.99517680006102,0.017529899952933192,36.32152769993991,[np.float64(0.1574074074074074)],[np.float64(-0.3685185185185185)],[1],[0],[0],[1.3326586000621319],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
25,0,25,[np.float64(-0.35185185185185186)],[np.float64(-0.026851851851851852)],[1],[0],[0],[1.2518076999112964],['target'],25,0,25,0,36.34408630011603,,10,36.33804069994949,36.34408630011603,36.34408630011603,0.016357700107619166,37.58993010013364,[np.float64(-0.35185185185185186)],[np.float64(-0.026851851851851852)],[1],[0],[0],[1.2518076999112964],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
26,0,26,[np.float64(-0.13796296296296295)],[np.float64(-0.1685185185185185)],[1],[0],[0],[1.1831072999630123],['target'],26,0,26,0,37.610924400156364,,10,37.6046005000826,37.610924400156364,37.610924400156364,0.014515100046992302,38.78793390002102,[np.float64(-0.13796296296296295)],[np.float64(-0.1685185185185185)],[1],[0],[0],[1.1831072999630123],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
27,0,27,[np.float64(0.3037037037037037)],[np.float64(0.3768518518518518)],[1],[0],[0],[1.1560263999272138],['target'],27,0,27,0,38.806561100063846,,5,38.80216350010596,38.806561100063846,38.806561100063846,0.01389149995520711,39.958722200011835,[np.float64(0.3037037037037037)],[np.float64(0.3768518518518518)],[1],[0],[0],[1.1560263999272138],['target'],2,001,2025-09-30_15h43.14.632,Visual Search,,2025.1.1,59.810436764785926,2025-09-30 15h43.53.843031 +0530,
