reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
96,98,57,0,0,0,t,2.2126875999965705,0.06664170004660264,0,0,0,40,0.08525689999805763,,0.08270210004411638,0.08525689999805763,1.007007300038822,1.007007300038822,1.0901118000037968,3.2904034000239335,t,2.2126875999965705,0.06664170004660264,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
58,100,73,1,1,0,l,4.95292770001106,0.05096429999684915,0,1,1,74,3.306422099994961,,3.3020117999985814,3.306422099994961,4.289950600010343,4.289950600010343,4.307082400016952,9.307252700033132,l,4.95292770001106,0.05096429999684915,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
30,75,13,2,2,0,l,1.8792005999712273,0.056049700011499226,0,2,2,58,9.322903699998278,,9.312397100031376,9.322903699998278,10.306792300019879,10.306792300019879,10.323504700034391,12.257230600051116,l,1.8792005999712273,0.056049700011499226,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
70,92,15,3,3,0,l,1.7589951999834739,0.04153190000215545,0,3,3,28,12.272604900004808,,12.264051900012419,12.272604900004808,13.273223800002597,13.273223800002597,13.273223800002597,15.074367300025187,l,1.7589951999834739,0.04153190000215545,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
69,88,84,4,4,0,l,1.6995647000148892,0.10205829999176785,0,4,4,1,15.089777200017124,,15.080486999999266,15.089777200017124,16.0896672999952,16.0896672999952,16.0896672999952,17.90790760004893,l,1.6995647000148892,0.10205829999176785,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
54,78,86,5,5,0,l,1.3438326999894343,0.05723289999878034,0,5,5,37,17.9229596000514,,17.913675600022543,17.9229596000514,18.923392300028354,18.923392300028354,18.923392300028354,20.340360200032592,l,1.3438326999894343,0.05723289999878034,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
78,89,168,6,6,0,t,4.0561457999865524,0.05254910001531243,0,6,6,99,20.356484699994326,,20.345135500014294,20.356484699994326,21.340001000033226,21.340001000033226,21.356968700012658,25.45663400000194,t,4.0561457999865524,0.05254910001531243,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
61,64,18,7,7,0,l,3.5043713999912143,0.057497600035276264,0,7,7,4,25.47270780004328,,25.460605600033887,25.47270780004328,26.45619340002304,26.45619340002304,26.472908499999903,30.023615400015842,l,3.5043713999912143,0.057497600035276264,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
40,61,43,8,8,0,l,1.8684930999879725,0.06298549997154623,0,8,8,96,30.039388000033796,,30.02919870003825,30.039388000033796,31.023372300027404,31.023372300027404,31.039239800011273,32.95623579999665,l,1.8684930999879725,0.06298549997154623,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
92,93,80,9,9,0,t,1.8162620000075549,0.0613028000225313,0,9,9,5,32.97262440004852,,32.96073280001292,32.97262440004852,33.95623860001797,33.95623860001797,33.972225000034086,35.84285060002003,t,1.8162620000075549,0.0613028000225313,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
28,41,122,10,10,0,t,2.4107738999882713,0.04132590000517666,0,10,10,50,35.85562869999558,,35.84957120002946,35.85562869999558,36.85626270005014,36.85626270005014,36.85626270005014,39.32400000002235,t,2.4107738999882713,0.04132590000517666,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
52,98,36,11,11,0,l,2.362182400014717,0.13786309998249635,0,11,11,46,39.33895910001593,,39.33143680001376,39.33895910001593,40.33905240002787,40.33905240002787,40.33905240002787,42.84165880002547,l,2.362182400014717,0.13786309998249635,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
71,89,66,12,12,0,l,1.0475491000106558,0.11552079999819398,0,12,12,49,42.855674399994314,,42.84715879999567,42.855674399994314,43.855556300026365,43.855556300026365,43.855556300026365,45.02380990004167,l,1.0475491000106558,0.11552079999819398,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
74,94,21,13,13,0,l,1.747332600003574,0.15114239999093115,0,13,13,48,45.038902700005565,,45.03109620005125,45.038902700005565,46.03878130001249,46.03878130001249,46.03878130001249,47.93885980005143,l,1.747332600003574,0.15114239999093115,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
17,50,134,14,14,0,l,2.086390200012829,0.09339970001019537,0,14,14,54,47.95548110001255,,47.94231519999448,47.95548110001255,48.939184200018644,48.939184200018644,48.95616080000764,51.12312620005105,l,2.086390200012829,0.09339970001019537,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
2,7,7,15,15,0,l,1.8160713000106625,0.14791870000772178,0,15,15,41,51.13906340004178,,51.12928680004552,51.13906340004178,52.138659699994605,52.138659699994605,52.138659699994605,54.10576210002182,l,1.8160713000106625,0.14791870000772178,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
43,76,83,16,16,0,l,0.8073941000038758,0.15720919996965677,0,16,16,67,54.12202420004178,,54.109380100038834,54.12202420004178,55.10600480000721,55.10600480000721,55.12220610002987,56.07283010001993,l,0.8073941000038758,0.15720919996965677,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
62,75,3,17,17,0,l,1.6630981999915093,0.167276700027287,0,17,17,75,56.0890210000216,,56.07778540003346,56.0890210000216,57.07230180001352,57.07230180001352,57.08903520001331,58.905969200015534,l,1.6630981999915093,0.167276700027287,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
64,75,105,18,18,0,t,2.598426400043536,0.05062529997667298,0,18,18,53,58.92215860000579,,58.9105300999945,58.92215860000579,59.905870000016876,59.905870000016876,59.92259550001472,62.55624510004418,t,2.598426400043536,0.05062529997667298,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
69,88,29,19,19,0,l,1.0578354999888688,0.06661849998636171,0,19,19,30,62.57219930004794,,62.56118330004392,62.57219930004794,63.57226680003805,63.57226680003805,63.57226680003805,64.70587040000828,l,1.0578354999888688,0.06661849998636171,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
95,99,33,20,20,0,t,1.967618800001219,0.04132489999756217,0,20,20,13,64.72165140003199,,64.7101520000142,64.72165140003199,65.70571880001808,65.70571880001808,65.72144220001064,67.72178040002473,t,1.967618800001219,0.04132489999756217,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
16,27,56,21,21,0,l,1.2056594000314362,0.12683019996620715,0,21,21,68,67.73796920001041,,67.72443950001616,67.73796920001041,68.72151980001945,68.72151980001945,68.73798600002192,70.05601910001133,l,1.2056594000314362,0.12683019996620715,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
80,94,42,22,22,0,l,2.011380099982489,0.12919130001682788,0,22,22,97,70.07160610001301,,70.06391330005135,70.07160610001301,71.07139789999928,71.07139789999928,71.07139789999928,73.22187599999597,l,2.011380099982489,0.12919130001682788,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
7,17,59,23,23,0,l,1.5401146999793127,0.19858720002230257,0,23,23,92,73.23786100000143,,73.22492670000065,73.23786100000143,74.22164699999848,74.22164699999848,74.23811640002532,75.97245480003767,l,1.5401146999793127,0.19858720002230257,2,001,2025-11-03_17h02.51.169,Delay Discounting,,2025.1.1,59.93791630106484,2025-11-03 17h03.00.595578 +0530,
