pos,corr_resp,thisN,thisTrialN,thisRepN,kev_resp.kevs,kev_resp.corr,kev_resp.rt,kev_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,kev_resp.started,trial.stopped,trials.kev_resp.kevs,trials.kev_resp.corr,trials.kev_resp.rt,trials.kev_resp.duration,trials_2.kev_resp.kevs,trials_2.kev_resp.corr,trials_2.kev_resp.rt,trials_2.kev_resp.duration,participant,session,date,expName,expVersion,psvchopvVersion,frameRate,expStart
-50,x,0,0,0,v,0,0.9921135,None,0,0,0,0,,,,,0.0223193,,0.0130226,0.0223193,1.0055062,1.0055062,1.0055062,1.0055062,1.0214762,2.0061276,2.0061276,3.1076236,v,0,0.9921135,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
150,v,1,1,0,z,0,0.7354043,None,0,1,1,1,,,,,3.1221126,,3.1080136,3.1221126,4.1232884,4.1232884,4.1232884,4.1232884,4.1232884,5.1060547,5.1060547,5.8421961,z,0,0.7354043,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
50,c,2,2,0,c,1,0.8165547,None,0,2,2,2,,,,,5.8563482,,5.8424827,5.8563482,6.8560195,6.8560195,6.8560195,6.8560195,6.8560195,7.8562672,7.8562672,8.6757194,c,1,0.8165547,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
-150,z,3,3,0,x,0,0.3546231,None,0,3,3,3,,,,,8.6889931,,8.6759476,8.6889931,9.68859,9.68859,9.68859,9.68859,9.68859,10.6880062,10.6880062,11.0431755,x,0,0.3546231,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
-50,x,4,0,1,v,0,0.2748811,None,1,0,4,0,,,,,11.0555393,,11.043439,11.0555393,12.0555562,12.0555562,12.0555562,12.0555562,12.0555562,13.0546729,13.0546729,13.3412145,v,0,0.2748811,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
150,v,5,1,1,z,0,0.7217607,None,1,1,5,1,,,,,13.3552151,,13.3415426,13.3552151,14.3549753,14.3549753,14.3549753,14.3549753,14.3549753,15.3549159,15.3549159,16.0926819,z,0,0.7217607,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
50,c,6,2,1,c,1,0.1828718,None,1,2,6,2,,,,,16.105369,,16.0930334,16.105369,17.1044828,17.1044828,17.1044828,17.1044828,17.1044828,18.1071284,18.1071284,18.2936054,c,1,0.1828718,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
-150,z,7,3,1,x,0,0.2418669,None,1,3,7,3,,,,,18.3058582,,18.2939001,18.3058582,19.3062622,19.3062622,19.3062622,19.3062622,19.3062622,20.3058591,20.3058591,20.5592778,x,0,0.2418669,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
-50,x,8,0,2,v,0,0.3904451,None,2,0,8,0,,,,,20.5732196,,20.5595804,20.5732196,21.5726521,21.5726521,21.5726521,21.5726521,21.5726521,22.5727061,22.5727061,22.9767675,v,0,0.3904451,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
150,v,9,1,2,z,0,0.2860665,None,2,1,9,1,,,,,22.9897398,,22.9771257,22.9897398,23.9903927,23.9903927,23.9903927,23.9903927,23.9903927,24.9892438,24.9892438,25.2766509,z,0,0.2860665,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
50,c,10,2,2,c,1,0.2496688,None,2,2,10,2,,,,,25.2884629,,25.2769385,25.2884629,26.2894376,26.2894376,26.2894376,26.2894376,26.2894376,27.2890209,27.2890209,27.543555,c,1,0.2496688,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
-150,z,11,3,2,x,0,0.1543667,None,2,3,11,3,,,,,27.5561627,,27.5437969,27.5561627,28.5556643,28.5556643,28.5556643,28.5556643,28.5556643,29.5563813,29.5563813,29.7242546,x,0,0.1543667,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
-50,x,12,0,3,v,0,0.0732183,None,3,0,12,0,,,,,29.7386583,,29.7244739,29.7386583,30.7389656,30.7389656,30.7389656,30.7389656,30.7389656,31.7396079,31.7396079,31.8259833,v,0,0.0732183,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
150,v,13,1,3,z,0,1.0079605,None,3,1,13,1,,,,,31.8389783,,31.8262773,31.8389783,32.8389344,32.8389344,32.8389344,32.8389344,32.8389344,33.8389754,33.8389754,34.8580848,z,0,1.0079605,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
50,c,14,2,3,c,1,0.3492177,None,3,2,14,2,,,,,34.8727769,,34.85833,34.8727769,35.872312,35.872312,35.872312,35.872312,35.872312,36.8722423,36.8722423,37.2270857,c,1,0.3492177,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
-150,z,15,3,3,x,0,0.0529952,None,3,3,15,3,,,,,37.2396964,,37.2274341,37.2396964,38.23947,38.23947,38.23947,38.23947,38.23947,39.2393769,39.2393769,39.293937,x,0,0.0529952,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
-50,x,16,0,4,v,0,0.0344797,None,4,0,16,0,,,,,39.3059352,,39.2942227,39.3059352,40.3062503,40.3062503,40.3062503,40.3062503,40.3062503,41.3064708,41.3064708,41.3433621,v,0,0.0344797,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
150,v,17,1,4,z,0,0.5506476,None,4,1,17,1,,,,,41.3559608,,41.3436368,41.3559608,42.3561637,42.3561637,42.3561637,42.3561637,42.3561637,43.3556093,43.3556093,43.9084246,z,0,0.5506476,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
50,c,18,2,4,c,1,0.266199,None,4,2,18,2,,,,,43.9218224,,43.9087162,43.9218224,44.9232328,44.9232328,44.9232328,44.9232328,44.9232328,45.9226764,45.9226764,46.1922386,c,1,0.266199,None,,,,,4,1,2025-10-03_18h35.42.544,Motor Sequence,,2025.1.1,59.64675995,2025-10-03 18h35.48.043927 +0530
