thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.06574074074074074)],[np.float64(-0.23703703703703705)],[1],[0],[0],[1.1768679001834244],['target'],0,0,0,0,0.0307285999879241,,10,0.02345809992402792,0.0307285999879241,0.0307285999879241,0.023476900067180395,1.20044990000315,[np.float64(0.06574074074074074)],[np.float64(-0.23703703703703705)],[1],[0],[0],[1.1768679001834244],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
1,0,1,[np.float64(-0.41944444444444445)],[np.float64(0.36944444444444446)],[1],[0],[0],[1.5614599999971688],['target'],1,0,1,0,1.216339600039646,,5,1.2100237999111414,1.216339600039646,1.216339600039646,0.00928100012242794,2.771600800100714,[np.float64(-0.41944444444444445)],[np.float64(0.36944444444444446)],[1],[0],[0],[1.5614599999971688],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
2,0,2,[np.float64(0.43333333333333335)],[np.float64(-0.3787037037037037)],[1],[0],[0],[1.3362598998937756],['target'],2,0,2,0,2.7857443001121283,,5,2.7815493000671268,2.7857443001121283,2.7857443001121283,0.009775300044566393,4.117898399941623,[np.float64(0.43333333333333335)],[np.float64(-0.3787037037037037)],[1],[0],[0],[1.3362598998937756],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
3,0,3,[np.float64(-0.09351851851851851)],[np.float64(-0.22407407407407406)],[1],[0],[0],[1.1688077000435442],['target'],3,0,3,0,4.132849399931729,,5,4.1282760999165475,4.132849399931729,4.132849399931729,0.010222400072962046,5.2972335000522435,[np.float64(-0.09351851851851851)],[np.float64(-0.22407407407407406)],[1],[0],[0],[1.1688077000435442],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
4,0,4,[np.float64(-0.18888888888888888)],[np.float64(0.2657407407407407)],[1],[0],[0],[1.2205739999189973],['target'],4,0,4,0,5.320437199901789,,10,5.314313600072637,5.320437199901789,5.320437199901789,0.0168440998531878,6.534989699954167,[np.float64(-0.18888888888888888)],[np.float64(0.2657407407407407)],[1],[0],[0],[1.2205739999189973],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
5,0,5,[np.float64(-0.43425925925925923)],[np.float64(-0.001851851851851852)],[1],[0],[0],[1.1215911998879164],['target'],5,0,5,0,6.551842000102624,,5,6.547601500060409,6.551842000102624,6.551842000102624,0.012414499884471297,7.6693059001117945,[np.float64(-0.43425925925925923)],[np.float64(-0.001851851851851852)],[1],[0],[0],[1.1215911998879164],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
6,0,6,[np.float64(0.43333333333333335)],[np.float64(-0.14074074074074075)],[1],[0],[0],[2.078187699895352],['target'],6,0,6,0,7.692589099984616,,10,7.686469200067222,7.692589099984616,7.692589099984616,0.016972499899566174,9.76478790002875,[np.float64(0.43333333333333335)],[np.float64(-0.14074074074074075)],[1],[0],[0],[2.078187699895352],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
7,0,7,[np.float64(-0.1962962962962963)],[np.float64(-0.21481481481481482)],[1],[0],[0],[1.1169273001141846],['target'],7,0,7,0,9.787207700079307,,10,9.781404699897394,9.787207700079307,9.787207700079307,0.016344500007107854,10.898434000089765,[np.float64(-0.1962962962962963)],[np.float64(-0.21481481481481482)],[1],[0],[0],[1.1169273001141846],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
8,0,8,[np.float64(0.20092592592592592)],[np.float64(0.0712962962962963)],[1],[0],[0],[1.204096500063315],['target'],8,0,8,0,10.92088930006139,,10,10.915089899906889,10.92088930006139,10.92088930006139,0.016421400010585785,12.119287800043821,[np.float64(0.20092592592592592)],[np.float64(0.0712962962962963)],[1],[0],[0],[1.204096500063315],['target'],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
9,0,9,[np.float64(-0.003703703703703704)],[np.float64(0.17592592592592593)],[1],[0],[0],[1.128597600152716],[None],9,0,9,0,12.14158540009521,,10,12.13530379999429,12.14158540009521,12.14158540009521,0.01581490016542375,13.264004100114107,[np.float64(-0.003703703703703704)],[np.float64(0.17592592592592593)],[1],[0],[0],[1.128597600152716],[None],1,001,2025-09-30_15h37.13.656,Visual Search,,2025.1.1,60.29203045632926,2025-09-30 15h37.20.021197 +0530,
