pos,corr_resp,thisN,thisTrialN,thisRepN,kev_resp.kevs,kev_resp.corr,kev_resp.rt,kev_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,kev_resp.started,trial.stopped,trials.kev_resp.kevs,trials.kev_resp.corr,trials.kev_resp.rt,trials.kev_resp.duration,trials_2.kev_resp.kevs,trials_2.kev_resp.corr,trials_2.kev_resp.rt,trials_2.kev_resp.duration,participant,session,date,expName,expVersion,psvchopvVersion,frameRate,expStart
-50,x,0,0,0,v,0,0.9302656,None,0,0,0,0,,,,,0.0333747,,0.0245247,0.0333747,1.0009796,1.0009796,1.0009796,1.0009796,1.0362138,2.000969,2.000969,2.9493825,v,0,0.9302656,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,1,1,0,z,0,1.1269812,None,0,1,1,1,,,,,2.9673015,,2.9496023,2.9673015,3.9521563,3.9521563,3.9521563,3.9521563,3.9671315,4.9504694,4.9504694,6.0864644,z,0,1.1269812,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
50,c,2,2,0,c,1,0.4717805,None,0,2,2,2,,,,,6.1018009,,6.0867062,6.1018009,7.1007024,7.1007024,7.1007024,7.1007024,7.1007024,8.1003268,8.1003268,8.5871405,c,1,0.4717805,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-150,z,3,3,0,x,0,0.3695932,None,0,3,3,3,,,,,8.6010792,,8.5874001,8.6010792,9.6002072,9.6002072,9.6002072,9.6002072,9.6002072,10.6002682,10.6002682,10.9705774,x,0,0.3695932,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-50,x,4,0,1,v,0,0.6037978,None,1,0,4,0,,,,,10.9845744,,10.9708335,10.9845744,11.9846693,11.9846693,11.9846693,11.9846693,11.9846693,12.984078,12.984078,13.6046165,v,0,0.6037978,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,5,1,1,z,0,0.4592661,None,1,1,5,1,,,,,13.6173791,,13.6049573,13.6173791,14.6175174,14.6175174,14.6175174,14.6175174,14.6175174,15.6177929,15.6177929,16.0863982,z,0,0.4592661,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
50,c,6,2,1,c,1,0.3182676,None,1,2,6,2,,,,,16.100799,,16.0866278,16.100799,17.100796,17.100796,17.100796,17.100796,17.100796,18.1005469,18.1005469,18.4213358,c,1,0.3182676,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-150,z,7,3,1,x,0,0.63272,None,1,3,7,3,,,,,18.4353166,,18.4217296,18.4353166,19.4336554,19.4336554,19.4336554,19.4336554,19.4336554,20.4340518,20.4340518,21.0717346,x,0,0.63272,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-50,x,8,0,2,v,0,0.3618031,None,2,0,8,0,,,,,21.0857981,,21.072079,21.0857981,22.0835511,22.0835511,22.0835511,22.0835511,22.0835511,23.0865277,23.0865277,23.4542816,v,0,0.3618031,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,9,1,2,c,0,3.0844507,None,2,1,9,1,,,,,23.4675211,,23.4545407,23.4675211,24.4672566,24.4672566,24.4672566,24.4672566,24.4672566,25.4670443,25.4670443,28.5543173,c,0,3.0844507,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
50,c,10,2,2,z,0,3.0047411,None,2,2,10,2,,,,,28.5677007,,28.5546833,28.5677007,29.5676005,29.5676005,29.5676005,29.5676005,29.5676005,30.5677244,30.5677244,33.5883609,z,0,3.0047411,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-150,z,11,3,2,x,0,0.5548589,None,2,3,11,3,,,,,33.6006478,,33.5886409,33.6006478,34.6009135,34.6009135,34.6009135,34.6009135,34.6009135,35.6011178,35.6011178,36.1711991,x,0,0.5548589,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-50,x,12,0,3,v,0,0.9075782,None,3,0,12,0,,,,,36.1840346,,36.1714933,36.1840346,37.1832278,37.1832278,37.1832278,37.1832278,37.1832278,38.1842498,38.1842498,39.1020976,v,0,0.9075782,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,13,1,3,z,0,0.7029857,None,3,1,13,1,,,,,39.11691,,39.1022993,39.11691,40.100852,40.100852,40.100852,40.100852,40.1169232,41.1004578,41.1004578,41.8202963,z,0,0.7029857,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
50,c,14,2,3,c,1,0.3213634,None,3,2,14,2,,,,,41.8355715,,41.8206326,41.8355715,42.8341036,42.8341036,42.8341036,42.8341036,42.8505289,43.8338265,43.8338265,44.1692775,c,1,0.3213634,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-150,z,15,3,3,x,0,0.3019214,None,3,3,15,3,,,,,44.1839518,,44.1695225,44.1839518,45.1672957,45.1672957,45.1672957,45.1672957,45.1828926,46.1845238,46.1845238,46.5032704,x,0,0.3019214,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-50,x,16,0,4,v,0,0.235594,None,4,0,16,0,,,,,46.5184176,,46.5036235,46.5184176,47.5173446,47.5173446,47.5173446,47.5173446,47.5173446,48.5166803,48.5166803,48.7528464,v,0,0.235594,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,17,1,4,z,0,0.5522482,None,4,1,17,1,,,,,48.7671464,,48.7530683,48.7671464,49.7516912,49.7516912,49.7516912,49.7516912,49.7673897,50.7670687,50.7670687,51.3220187,z,0,0.5522482,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
50,c,18,2,4,c,1,0.2862856,None,4,2,18,2,,,,,51.3340364,,51.32235,51.3340364,52.333292,52.333292,52.333292,52.333292,52.333292,53.3338016,53.3338016,53.6357457,c,1,0.2862856,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-150,z,19,3,4,x,0,0.3514398,None,4,3,19,3,,,,,53.6503258,,53.6359653,53.6503258,54.6517605,54.6517605,54.6517605,54.6517605,54.6517605,55.6524374,55.6524374,56.0195723,x,0,0.3514398,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-50,x,20,0,5,v,0,0.6741103,None,5,0,20,0,,,,,56.0336778,,56.0197993,56.0336778,57.0333985,57.0333985,57.0333985,57.0333985,57.0333985,58.0329729,58.0329729,58.718547,v,0,0.6741103,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,21,1,5,z,0,3.8080639,None,5,1,21,1,,,,,58.733459,,58.7188246,58.733459,59.7329423,59.7329423,59.7329423,59.7329423,59.7329423,60.7329713,60.7329713,64.5543487,z,0,3.8080639,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
50,c,22,2,5,c,1,2.4836659,None,5,2,22,2,,,,,64.5675618,,64.5546163,64.5675618,65.5677082,65.5677082,65.5677082,65.5677082,65.5677082,66.5664169,66.5664169,69.0526579,c,1,2.4836659,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-150,z,23,3,5,x,0,0.3829408,None,5,3,23,3,,,,,69.066791,,69.052877,69.066791,70.0672974,70.0672974,70.0672974,70.0672974,70.0672974,71.0675802,71.0675802,71.4533295,x,0,0.3829408,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-50,x,24,0,6,v,0,0.2985496,None,6,0,24,0,,,,,71.4669569,,71.4535486,71.4669569,72.4670286,72.4670286,72.4670286,72.4670286,72.4670286,73.4673286,73.4673286,73.7711292,v,0,0.2985496,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,25,1,6,z,0,1.4237507,None,6,1,25,1,,,,,73.7833958,,73.7713976,73.7833958,74.7833912,74.7833912,74.7833912,74.7833912,74.7833912,75.7827773,75.7827773,77.2205748,z,0,1.4237507,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
50,c,26,2,6,c,1,0.3854139,None,6,2,26,2,,,,,77.2341165,,77.2208935,77.2341165,78.2342953,78.2342953,78.2342953,78.2342953,78.2342953,79.2330822,79.2330822,79.6206797,c,1,0.3854139,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-150,z,27,3,6,x,0,0.2758061,None,6,3,27,3,,,,,79.6340962,,79.6209748,79.6340962,80.6328182,80.6328182,80.6328182,80.6328182,80.6328182,81.6338855,81.6338855,81.9192351,x,0,0.2758061,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-50,x,28,0,7,v,0,0.4088024,None,7,0,28,0,,,,,81.9343205,,81.9194684,81.9343205,82.9338917,82.9338917,82.9338917,82.9338917,82.9338917,83.9333575,83.9333575,84.3546874,v,0,0.4088024,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,29,1,7,z,0,0.282185,None,7,1,29,1,,,,,84.367491,,84.3549811,84.367491,85.3681404,85.3681404,85.3681404,85.3681404,85.3681404,86.3661255,86.3661255,86.6534549,z,0,0.282185,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
50,c,30,2,7,c,1,0.3216113,None,7,2,30,2,,,,,86.6674427,,86.6537415,86.6674427,87.6666911,87.6666911,87.6666911,87.6666911,87.6666911,88.6677115,88.6677115,89.0025715,c,1,0.3216113,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-150,z,31,3,7,x,0,0.3752389,None,7,3,31,3,,,,,89.0168198,,89.002832,89.0168198,90.0166752,90.0166752,90.0166752,90.0166752,90.0166752,91.0163038,91.0163038,91.4025258,x,0,0.3752389,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
-50,x,32,0,8,v,0,0.2600681,None,8,0,32,0,,,,,91.4173968,,91.4028008,91.4173968,92.4164535,92.4164535,92.4164535,92.4164535,92.4164535,93.4177344,93.4177344,93.6859538,v,0,0.2600681,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
150,v,33,1,8,z,0,1.0476043,None,8,1,33,1,,,,,93.7000935,,93.686183,93.7000935,94.7013878,94.7013878,94.7013878,94.7013878,94.7013878,95.6998544,95.6998544,96.75086,z,0,1.0476043,None,,,,,2,1,2025-10-03_13h28.52.734,Motor Sequence,,2025.1.1,60.21655075,2025-10-03 13h28.56.342558 +0530
