thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.20092592592592592)],[np.float64(-0.14907407407407408)],[1],[0],[0],[2.8584026000462472],['target'],0,0,0,0,0.02934310003183782,,10,0.02060139994136989,0.02934310003183782,0.02934310003183782,0.020621799863874912,2.8791048999410123,[np.float64(-0.20092592592592592)],[np.float64(-0.14907407407407408)],[1],[0],[0],[2.8584026000462472],['target'],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
1,0,1,[np.float64(0.0962962962962963)],[np.float64(-0.3296296296296296)],[1],[0],[0],[1.2160050000529736],['target'],1,0,1,0,2.9028221999760717,,10,2.8971049999818206,2.9028221999760717,2.9028221999760717,0.01776689989492297,4.113222399959341,[np.float64(0.0962962962962963)],[np.float64(-0.3296296296296296)],[1],[0],[0],[1.2160050000529736],['target'],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
2,0,2,[np.float64(-0.004629629629629629)],[np.float64(-0.125)],[1],[0],[0],[1.0229521000292152],['target'],2,0,2,0,4.126222599996254,,5,4.121910699876025,4.126222599996254,4.126222599996254,0.008500399999320507,5.144978200085461,[np.float64(-0.004629629629629629)],[np.float64(-0.125)],[1],[0],[0],[1.0229521000292152],['target'],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
3,0,3,[np.float64(0.41759259259259257)],[np.float64(-0.15925925925925927)],[1],[0],[0],[1.3177917001303285],['target'],3,0,3,0,5.163499400019646,,5,5.159160299925134,5.163499400019646,5.163499400019646,0.013993000146001577,6.477040400030091,[np.float64(0.41759259259259257)],[np.float64(-0.15925925925925927)],[1],[0],[0],[1.3177917001303285],['target'],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
4,0,4,[np.float64(-0.037037037037037035)],[np.float64(-0.34444444444444444)],[1],[0],[0],[1.3180154000874609],['target'],4,0,4,0,6.498185900039971,,10,6.492337000090629,6.498185900039971,6.498185900039971,0.015150199877098203,7.810406999895349,[np.float64(-0.037037037037037035)],[np.float64(-0.34444444444444444)],[1],[0],[0],[1.3180154000874609],['target'],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
5,0,5,[np.float64(-0.1648148148148148)],[np.float64(-0.4287037037037037)],[1],[0],[0],[1.201389400055632],['target'],5,0,5,0,7.831397600006312,,10,7.825369500089437,7.831397600006312,7.831397600006312,0.014864500146359205,9.02681909990497,[np.float64(-0.1648148148148148)],[np.float64(-0.4287037037037037)],[1],[0],[0],[1.201389400055632],['target'],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
6,0,6,[np.float64(-0.09537037037037037)],[np.float64(-0.2351851851851852)],[1],[0],[0],[1.0484482999891043],['target'],6,0,6,0,9.048941799905151,,10,9.043168199947104,9.048941799905151,9.048941799905151,0.01619570003822446,10.091698399977759,[np.float64(-0.09537037037037037)],[np.float64(-0.2351851851851852)],[1],[0],[0],[1.0484482999891043],['target'],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
7,0,7,[np.float64(0.024074074074074074)],[np.float64(0.22777777777777777)],[1],[0],[0],[1.0443287000525743],[None],7,0,7,0,10.107516699936241,,5,10.102810499956831,10.107516699936241,10.107516699936241,0.010934899793937802,11.147257399978116,[np.float64(0.024074074074074074)],[np.float64(0.22777777777777777)],[1],[0],[0],[1.0443287000525743],[None],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
8,0,8,[np.float64(0.47962962962962963)],[np.float64(-0.2601851851851852)],[1],[0],[0],[1.2380645000375807],[None],8,0,8,0,11.162868099985644,,5,11.157994600012898,11.162868099985644,11.162868099985644,0.010523299919441342,12.396155199967325,[np.float64(0.47962962962962963)],[np.float64(-0.2601851851851852)],[1],[0],[0],[1.2380645000375807],[None],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
9,0,9,[np.float64(0.08055555555555556)],[np.float64(0.030555555555555555)],[1],[0],[0],[1.1747202998958528],[None],9,0,9,0,12.409847100032493,,5,12.40524769993499,12.409847100032493,12.409847100032493,0.008924399968236685,13.58005589991808,[np.float64(0.08055555555555556)],[np.float64(0.030555555555555555)],[1],[0],[0],[1.1747202998958528],[None],4,001,2025-09-30_15h54.41.984,Visual Search,,2025.1.1,60.006792764778794,2025-09-30 15h54.51.931161 +0530,
