letter,thisN,thisTrialN,thisRepN,respp.keys,respp.rt,respp.duration,mainloop.thisRepN,mainloop.thisTrialN,mainloop.thisN,mainloop.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,mainfixation.started,leterrrrrrr.started,respp.started,mainfixation.stopped,leterrrrrrr.stopped,respp.stopped,trial.stopped,mainloop.respp.keys,mainloop.respp.rt,mainloop.respp.duration,thanks_2.started,thankyou.started,end.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0023707998916506767,0.00548930000513792,0.00548930000513792,1.9986029998399317,space,1.9713033000007272,None,,,,,,,,,,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
A,0,0,0,None,,,0,0,0,0,2.0225727998185903,,,,,,,,,2.0191309999208897,2.0225727998185903,2.2069186000153422,2.2069186000153422,2.223766299895942,2.906644699862227,3.7068374999798834,3.6911029999610037,None,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
B,1,1,0,None,,,0,1,1,1,3.7068374999798834,,,,,,,,,3.6969961000140756,3.7068374999798834,3.9070839998312294,3.9070839998312294,3.9070839998312294,4.607007999904454,5.406775399809703,5.390109600033611,None,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
C,2,2,0,None,,,0,2,2,2,5.406775399809703,,,,,,,,,5.394157599890605,5.406775399809703,5.606934699928388,5.606934699928388,5.606934699928388,6.306168399984017,7.106372199952602,7.0896643998567015,None,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
D,3,3,0,None,,,0,3,3,3,7.106372199952602,,,,,,,,,7.092992499936372,7.106372199952602,7.306200599996373,7.306200599996373,7.306200599996373,8.006876999977976,8.806398199871182,8.790549299912527,None,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
D,4,4,0,space,0.4272613001521677,0.10740109998732805,0,4,4,4,8.806398199871182,,,,,,,,,8.790834499988705,8.806398199871182,9.006128499982879,9.006128499982879,9.006128499982879,9.70609340001829,10.506376399891451,10.491587999975309,space,0.4272613001521677,0.10740109998732805,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
F,5,5,0,None,,,0,5,5,5,10.506376399891451,,,,,,,,,10.500480499817058,10.506376399891451,10.706983000040054,10.706983000040054,10.706983000040054,11.406809599837288,12.205975799821317,12.191207299940288,None,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
H,6,6,0,None,,,0,6,6,6,12.205975799821317,,,,,,,,,12.199042699998245,12.205975799821317,12.407008199952543,12.407008199952543,12.407008199952543,13.10650229989551,13.906213499838486,13.889920499874279,None,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
J,7,7,0,None,,,0,7,7,7,13.906213499838486,,,,,,,,,13.894965499872342,13.906213499838486,14.106815099949017,14.106815099949017,14.106815099949017,14.806351899867877,15.6065475998912,15.59042469994165,None,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
K,8,8,0,None,,,0,8,8,8,15.6065475998912,,,,,,,,,15.59713689982891,15.6065475998912,15.80672620004043,15.80672620004043,15.80672620004043,16.50653319992125,17.30639239982702,17.29062129999511,None,,,,,,005,001,2025-11-19_20h26.23.490,N back,,2025.1.1,60.26703120261389,2025-11-19 20h26.36.879702 +0530,
