thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.4444444444444444)],[np.float64(-0.04814814814814815)],[1],[0],[0],[21.74401229992509],['target'],0,0,0,0,0.02561369980685413,,10,0.018760799895972013,0.02561369980685413,0.02561369980685413,0.01877920003607869,21.762859199894592,[np.float64(-0.4444444444444444)],[np.float64(-0.04814814814814815)],[1],[0],[0],[21.74401229992509],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
1,0,1,[np.float64(0.5092592592592593)],[np.float64(0.16666666666666666)],[1],[0],[0],[1.1232068999670446],['target'],1,0,1,0,21.775570399826393,,5,21.771446499973536,21.775570399826393,21.775570399826393,0.008384099928662181,22.894744699820876,[np.float64(0.5092592592592593)],[np.float64(0.16666666666666666)],[1],[0],[0],[1.1232068999670446],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
2,0,2,[np.float64(-0.03333333333333333)],[np.float64(-0.15648148148148147)],[1],[0],[0],[1.0236934998538345],['target'],2,0,2,0,22.910973699996248,,5,22.906705499859527,22.910973699996248,22.910973699996248,0.011801499873399734,23.930498499888927,[np.float64(-0.03333333333333333)],[np.float64(-0.15648148148148147)],[1],[0],[0],[1.0236934998538345],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
3,0,3,[np.float64(0.4638888888888889)],[np.float64(-0.10833333333333334)],[1],[0],[0],[1.1783326000440866],[None],3,0,3,0,23.95209449995309,,10,23.946344799827784,23.95209449995309,23.95209449995309,0.01566929998807609,25.124779399950057,[np.float64(0.4638888888888889)],[np.float64(-0.10833333333333334)],[1],[0],[0],[1.1783326000440866],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
4,0,4,[np.float64(-0.3527777777777778)],[np.float64(-0.07314814814814814)],[1],[0],[0],[1.1147767000366002],[None],4,0,4,0,25.150953899836168,,10,25.14454759983346,25.150953899836168,25.150953899836168,0.019553400110453367,26.259391899919137,[np.float64(-0.3527777777777778)],[np.float64(-0.07314814814814814)],[1],[0],[0],[1.1147767000366002],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
5,0,5,[np.float64(-0.20833333333333334)],[np.float64(-0.2916666666666667)],[1],[0],[0],[1.098598700016737],['target'],5,0,5,0,26.284256199840456,,10,26.277588199824095,26.284256199840456,26.284256199840456,0.0180500999558717,27.37627199990675,[np.float64(-0.20833333333333334)],[np.float64(-0.2916666666666667)],[1],[0],[0],[1.098598700016737],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
6,0,6,[np.float64(-0.15462962962962962)],[np.float64(0.48703703703703705)],[1],[0],[0],[1.5024087999481708],[None],6,0,6,0,27.392677899915725,,5,27.388439799891785,27.392677899915725,27.392677899915725,0.011994299944490194,28.89093520003371,[np.float64(-0.15462962962962962)],[np.float64(0.48703703703703705)],[1],[0],[0],[1.5024087999481708],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
7,0,7,[np.float64(-0.09166666666666666)],[np.float64(0.3435185185185185)],[1],[0],[0],[0.9913478000089526],[None],7,0,7,0,28.906239799922332,,5,28.901445699855685,28.906239799922332,28.906239799922332,0.010347000090405345,29.892879199935123,[np.float64(-0.09166666666666666)],[np.float64(0.3435185185185185)],[1],[0],[0],[0.9913478000089526],[None],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
8,0,8,[np.float64(0.09074074074074075)],[np.float64(0.11944444444444445)],[1],[0],[0],[1.1260679000988603],['target'],8,0,8,0,29.90631389990449,,5,29.90175740001723,29.90631389990449,29.90631389990449,0.00873280013911426,31.02792299981229,[np.float64(0.09074074074074075)],[np.float64(0.11944444444444445)],[1],[0],[0],[1.1260679000988603],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
9,0,9,[np.float64(-0.18703703703703703)],[np.float64(-0.3351851851851852)],[1],[0],[0],[1.216188200050965],['target'],9,0,9,0,31.051134299952537,,10,31.04508650000207,31.051134299952537,31.051134299952537,0.0169684998691082,32.2613735999912,[np.float64(-0.18703703703703703)],[np.float64(-0.3351851851851852)],[1],[0],[0],[1.216188200050965],['target'],5,001,2025-09-30_15h59.34.260,Visual Search,,2025.1.1,60.09568430757593,2025-09-30 16h01.23.710853 +0530,
