thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,0,10,[np.float64(-0.2675925925925926)],[np.float64(-0.4083333333333333)],[1],[0],[0],[1.620349100092426],['target'],10,0,10,0,13.2715031998232,,10,13.265620099846274,13.2715031998232,13.2715031998232,0.013860200066119432,14.88608769979328,[np.float64(-0.2675925925925926)],[np.float64(-0.4083333333333333)],[1],[0],[0],[1.620349100092426],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
11,0,11,[np.float64(-0.43703703703703706)],[np.float64(-0.3712962962962963)],[1],[0],[0],[1.1093421999830753],['target'],11,0,11,0,14.899898099945858,,5,14.89541029999964,14.899898099945858,14.899898099945858,0.009105300065129995,16.0048475000076,[np.float64(-0.43703703703703706)],[np.float64(-0.3712962962962963)],[1],[0],[0],[1.1093421999830753],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
12,0,12,[np.float64(-0.023148148148148147)],[np.float64(0.2037037037037037)],[1],[0],[0],[1.33222970017232],['target'],12,0,12,0,16.025858899811283,,10,16.019615900004283,16.025858899811283,16.025858899811283,0.014614200219511986,17.351927199866623,[np.float64(-0.023148148148148147)],[np.float64(0.2037037037037037)],[1],[0],[0],[1.33222970017232],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
13,0,13,[np.float64(-0.43703703703703706)],[np.float64(0.009259259259259259)],[1],[0],[0],[1.3604655000381172],['target'],13,0,13,0,17.3640301998239,,5,17.360033500008285,17.3640301998239,17.3640301998239,0.007927000056952238,18.720626199850813,[np.float64(-0.43703703703703706)],[np.float64(0.009259259259259259)],[1],[0],[0],[1.3604655000381172],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
14,0,14,[np.float64(0.18796296296296297)],[np.float64(0.3648148148148148)],[1],[0],[0],[1.2417715000919998],['target'],14,0,14,0,18.734056299785152,,5,18.729910699883476,18.734056299785152,18.734056299785152,0.009102900046855211,19.97177919978276,[np.float64(0.18796296296296297)],[np.float64(0.3648148148148148)],[1],[0],[0],[1.2417715000919998],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
15,0,15,[np.float64(0.25)],[np.float64(0.3277777777777778)],[1],[0],[0],[2.0380478000734],['target'],15,0,15,0,19.98569449991919,,5,19.981055999873206,19.98569449991919,19.98569449991919,0.009115200024098158,22.01922559994273,[np.float64(0.25)],[np.float64(0.3277777777777778)],[1],[0],[0],[2.0380478000734],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
16,0,16,[np.float64(0.45740740740740743)],[np.float64(-0.026851851851851852)],[1],[0],[0],[1.198706700000912],['target'],16,0,16,0,22.043106199940667,,10,22.037068199831992,22.043106199940667,22.043106199940667,0.01762799988500774,23.235866999952123,[np.float64(0.45740740740740743)],[np.float64(-0.026851851851851852)],[1],[0],[0],[1.198706700000912],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
17,0,17,[np.float64(0.4166666666666667)],[np.float64(0.4222222222222222)],[1],[0],[0],[1.5348181000445038],['target'],17,0,17,0,23.25740659981966,,10,23.251578699797392,23.25740659981966,23.25740659981966,0.015480599831789732,24.786501799942926,[np.float64(0.4166666666666667)],[np.float64(0.4222222222222222)],[1],[0],[0],[1.5348181000445038],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
18,0,18,[np.float64(0.3907407407407407)],[np.float64(0.04351851851851852)],[1],[0],[0],[1.11845439998433],['target'],18,0,18,0,24.807564199902117,,10,24.801518599968404,24.807564199902117,24.807564199902117,0.014815500006079674,25.920066899852827,[np.float64(0.3907407407407407)],[np.float64(0.04351851851851852)],[1],[0],[0],[1.11845439998433],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
19,0,19,[np.float64(-0.3416666666666667)],[np.float64(0.18611111111111112)],[1],[0],[0],[1.2467119998764247],['target'],19,0,19,0,25.94277169997804,,10,25.936965599888936,25.94277169997804,25.94277169997804,0.01670840010046959,27.183741899905726,[np.float64(-0.3416666666666667)],[np.float64(0.18611111111111112)],[1],[0],[0],[1.2467119998764247],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
20,0,20,[np.float64(0.2518518518518518)],[np.float64(-0.287962962962963)],[1],[0],[0],[1.3089411000255495],['target'],20,0,20,0,27.197625799803063,,5,27.19353979988955,27.197625799803063,27.197625799803063,0.00966839981265366,28.50258299987763,[np.float64(0.2518518518518518)],[np.float64(-0.287962962962963)],[1],[0],[0],[1.3089411000255495],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
21,0,21,[np.float64(0.23333333333333334)],[np.float64(-0.07037037037037037)],[1],[0],[0],[1.164745300076902],['target'],21,0,21,0,28.523479499854147,,10,28.51771459984593,28.523479499854147,28.523479499854147,0.014955500140786171,29.682566199917346,[np.float64(0.23333333333333334)],[np.float64(-0.07037037037037037)],[1],[0],[0],[1.164745300076902],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
