letter,thisN,thisTrialN,thisRepN,respp.keys,respp.rt,respp.duration,mainloop.thisRepN,mainloop.thisTrialN,mainloop.thisN,mainloop.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,mainfixation.started,leterrrrrrr.started,respp.started,mainfixation.stopped,leterrrrrrr.stopped,respp.stopped,trial.stopped,mainloop.respp.keys,mainloop.respp.rt,mainloop.respp.duration,thanks_2.started,thankyou.started,end.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.002136999974027276,0.005440599983558059,0.005440599983558059,1.43614050000906,space,1.4205420000944287,None,,,,,,,,,,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
A,0,0,0,None,,,0,0,0,0,1.4634400000795722,,,,,,,,,1.4593723001889884,1.4634400000795722,1.64630790008232,1.64630790008232,1.662906600162387,2.3460944001562893,3.146041100146249,3.129691499983892,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
B,1,1,0,None,,,0,1,1,1,3.146041100146249,,,,,,,,,3.13392150006257,3.146041100146249,3.3461259000469,3.3461259000469,3.3461259000469,4.046066300012171,4.8460601000115275,4.829636899987236,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
C,2,2,0,None,,,0,2,2,2,4.8460601000115275,,,,,,,,,4.832278900081292,4.8460601000115275,5.04604130005464,5.04604130005464,5.04604130005464,5.746074700029567,6.545985799981281,6.529723800020292,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
D,3,3,0,None,,,0,3,3,3,6.545985799981281,,,,,,,,,6.5344410999678075,6.545985799981281,6.7459704000502825,6.7459704000502825,6.7459704000502825,7.4459627000615,8.245984700042754,8.229494099970907,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
D,4,4,0,None,,,0,4,4,4,8.245984700042754,,,,,,,,,8.229700700147077,8.245984700042754,8.446095800027251,8.446095800027251,8.446095800027251,9.145992800127715,9.945936399977654,9.929557300172746,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
F,5,5,0,None,,,0,5,5,5,9.945936399977654,,,,,,,,,9.93407900002785,9.945936399977654,10.145954000065103,10.145954000065103,10.145954000065103,10.845895900158212,11.645890000043437,11.629431399982423,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
H,6,6,0,None,,,0,6,6,6,11.645890000043437,,,,,,,,,11.633865100098774,11.645890000043437,11.845938400132582,11.845938400132582,11.845938400132582,12.545942700002342,13.346053100191057,13.329571100184694,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
J,7,7,0,None,,,0,7,7,7,13.346053100191057,,,,,,,,,13.334139700047672,13.346053100191057,13.545863500097767,13.545863500097767,13.545863500097767,14.245814600028098,15.045833199983463,15.029412900097668,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
K,8,8,0,None,,,0,8,8,8,15.045833199983463,,,,,,,,,15.033734300173819,15.045833199983463,15.24582100007683,15.24582100007683,15.24582100007683,15.94587459997274,16.746109100058675,16.72950610006228,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
K,9,9,0,space,0.8841831001918763,0.15380919980816543,0,9,9,9,16.746109100058675,,,,,,,,,16.729677699971944,16.746109100058675,16.945940600009635,16.945940600009635,16.945940600009635,17.645870900014415,18.445828800089657,18.429409499978647,space,0.8841831001918763,0.15380919980816543,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
L,10,10,0,None,,,0,10,10,10,18.445828800089657,,,,,,,,,18.434284300077707,18.445828800089657,18.645752700045705,18.645752700045705,18.645752700045705,19.345681300153956,20.145712699973956,20.129313400015235,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
M,11,11,0,None,,,0,11,11,11,20.145712699973956,,,,,,,,,20.13189520011656,20.145712699973956,20.345716300187632,20.345716300187632,20.345716300187632,21.04572549997829,21.845695600146428,21.82920560007915,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
M,12,12,0,space,0.5013925998937339,0.16462990012951195,0,12,12,12,21.845695600146428,,,,,,,,,21.829428400145844,21.845695600146428,22.045678900089115,22.045678900089115,22.045678900089115,22.7456459000241,23.54563150019385,23.529205600032583,space,0.5013925998937339,0.16462990012951195,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
P,13,13,0,None,,,0,13,13,13,23.54563150019385,,,,,,,,,23.53184249997139,23.54563150019385,23.745716399978846,23.745716399978846,23.745716399978846,24.445617200108245,25.245605200063437,25.22918980009854,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
Q,14,14,0,None,,,0,14,14,14,25.245605200063437,,,,,,,,,25.235471999971196,25.245605200063437,25.445634700125083,25.445634700125083,25.445634700125083,26.14557690010406,26.94557370012626,26.92908520018682,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
R,15,15,0,None,,,0,15,15,15,26.94557370012626,,,,,,,,,26.934326900169253,26.94557370012626,27.145623699994758,27.145623699994758,27.145623699994758,27.845544300042093,28.64559630001895,28.6291435000021,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
R,16,16,0,space,0.4002340999431908,0.22848910000175238,0,16,16,16,28.64559630001895,,,,,,,,,28.62934820004739,28.64559630001895,28.845604700036347,28.845604700036347,28.845604700036347,29.54566580010578,30.34559050016105,30.329061800148338,space,0.4002340999431908,0.22848910000175238,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
T,17,17,0,None,,,0,17,17,17,30.34559050016105,,,,,,,,,30.33181650005281,30.34559050016105,30.545620900113136,30.545620900113136,30.545620900113136,31.24548100004904,32.04544490016997,32.02903420012444,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
V,18,18,0,None,,,0,18,18,18,32.04544490016997,,,,,,,,,32.03413010016084,32.04544490016997,32.2455406000372,32.2455406000372,32.2455406000372,32.94538910011761,33.74563270015642,33.7290992999915,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
W,19,19,0,None,,,0,19,19,19,33.74563270015642,,,,,,,,,33.73174040019512,33.74563270015642,33.94551210012287,33.94551210012287,33.94551210012287,34.64569440018386,35.44536770018749,35.429050100035965,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
W,20,20,0,space,0.4616894999053329,0.21758330008015037,0,20,20,20,35.44536770018749,,,,,,,,,35.42928040004335,35.44536770018749,35.64557719998993,35.64557719998993,35.64557719998993,36.34538900014013,37.14568700012751,37.12898120004684,space,0.4616894999053329,0.21758330008015037,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
X,21,21,0,None,,,0,21,21,21,37.14568700012751,,,,,,,,,37.14349260018207,37.14568700012751,37.3453614001628,37.3453614001628,37.3453614001628,38.04540659999475,38.84529240010306,38.82887009996921,None,,,,,,001,001,2025-11-19_15h26.34.842,N back,,2025.1.1,60.0272884314178,2025-11-19 15h26.43.228982 +0530,
