reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
9,39,173,0,0,0,t,1.5330085000023246,0.05705909989774227,0,0,0,47,0.14779710001312196,,0.14519569999538362,0.14779710001312196,1.0119908000342548,1.0119908000342548,1.1619999000104144,2.6124685000395402,t,1.5330085000023246,0.05705909989774227,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
17,73,92,1,1,0,t,1.1264138000551611,0.12660359998699278,0,1,1,33,2.628739699954167,,2.61672039993573,2.628739699954167,3.6122713999357074,3.6122713999357074,3.6288493999745697,4.879054400022142,t,1.1264138000551611,0.12660359998699278,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
20,47,17,2,2,0,t,0.5908618000103161,0.08116329996846616,0,2,2,0,4.895273500005715,,4.884376600035466,4.895273500005715,5.878908699960448,5.878908699960448,5.895854700007476,6.562447499949485,t,0.5908618000103161,0.08116329996846616,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
51,86,34,3,3,0,t,0.33197110006585717,0.08616710000205785,0,3,3,79,6.578650000039488,,6.568171099992469,6.578650000039488,7.562393700005487,7.562393700005487,7.579767799936235,7.9960010999348015,t,0.33197110006585717,0.08616710000205785,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
14,50,48,4,4,0,t,0.4031246000668034,0.1071515999501571,0,4,4,14,8.012049000011757,,7.9998697999399155,8.012049000011757,8.99577399995178,8.99577399995178,9.012527500046417,9.513143599964678,t,0.4031246000668034,0.1071515999501571,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
74,88,82,5,5,0,t,0.6070266999304295,0.10204879997763783,0,5,5,59,9.529093699995428,,9.518511699978262,9.529093699995428,10.512369200005196,10.512369200005196,10.52982139994856,11.229067499982193,t,0.6070266999304295,0.10204879997763783,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
25,91,25,6,6,0,t,0.6245362999616191,0.11508660006802529,0,6,6,65,11.246032699942589,,11.231496499967761,11.246032699942589,12.228528399951756,12.228528399951756,12.246249399962835,12.979986199992709,t,0.6245362999616191,0.11508660006802529,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
48,92,19,7,7,0,t,0.6506822999799624,0.08602629997767508,0,7,7,98,12.996103600016795,,12.984963299939409,12.996103600016795,13.979637800017372,13.979637800017372,13.995595899992622,14.729851600015536,t,0.6506822999799624,0.08602629997767508,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
63,88,20,8,8,0,t,0.8137485000770539,0.10517549992073327,0,8,8,29,14.745826300000772,,14.735125500010327,14.745826300000772,15.745571300038137,15.745571300038137,15.745571300038137,16.679604699951597,t,0.8137485000770539,0.10517549992073327,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
60,61,91,9,9,0,t,0.9754646000219509,0.0820909000467509,0,9,9,86,16.695949199958704,,16.685605900012888,16.695949199958704,17.678794299950823,17.678794299950823,17.695953399990685,18.746981299947947,t,0.9754646000219509,0.0820909000467509,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
23,27,39,10,10,0,t,1.404899400076829,0.1935807999689132,0,10,10,43,18.762144400039688,,18.75261970004067,18.762144400039688,19.76270940003451,19.76270940003451,19.76270940003451,21.363475800026208,t,1.404899400076829,0.1935807999689132,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
36,82,147,11,11,0,t,2.7572439999785274,0.08781229995656759,0,11,11,82,21.379082100000232,,21.36926449998282,21.379082100000232,22.36269280000124,22.36269280000124,22.378457900020294,25.21210839995183,t,2.7572439999785274,0.08781229995656759,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
1,72,95,12,12,0,l,1.9800219000317156,0.07148609997238964,0,12,12,71,25.22856950003188,,25.215906099998392,25.22856950003188,26.21162950003054,26.21162950003054,26.22833409998566,28.278817699989304,l,1.9800219000317156,0.07148609997238964,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
45,49,38,13,13,0,t,6.499687000061385,0.05533219990320504,0,13,13,39,28.295338699943386,,28.282939399941824,28.295338699943386,29.27838180004619,29.27838180004619,29.29507009999361,35.84523860004265,t,6.499687000061385,0.05533219990320504,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
78,89,168,14,14,0,t,1.3077072999440134,0.051347300061024725,0,14,14,99,35.8613941000076,,35.84903459995985,35.8613941000076,36.84485210001003,36.84485210001003,36.861388099961914,38.21181839995552,t,1.3077072999440134,0.051347300061024725,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
30,75,13,15,15,0,t,1.816095200018026,0.0715108000440523,0,15,15,58,38.22811419994105,,38.2157321999548,38.22811419994105,39.212208100012504,39.212208100012504,39.22902710002381,41.111787499976344,t,1.816095200018026,0.0715108000440523,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
4,99,155,16,16,0,l,1.725574899930507,0.054848400061018765,0,16,16,94,41.12801109999418,,41.11430819996167,41.12801109999418,42.111974800005555,42.111974800005555,42.128743799985386,43.89547260000836,l,1.725574899930507,0.054848400061018765,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
48,98,41,17,17,0,t,2.0398724999977276,0.06189370003994554,0,17,17,55,43.91188329993747,,43.90029529994354,43.91188329993747,44.89529469993431,44.89529469993431,44.911702399956994,47.01275520003401,t,2.0398724999977276,0.06189370003994554,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
55,56,93,18,18,0,t,2.627917499979958,0.0538933000061661,0,18,18,32,47.02806199993938,,47.01949069998227,47.02806199993938,48.02831900003366,48.02831900003366,48.02831900003366,50.71208059997298,t,2.627917499979958,0.0538933000061661,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
63,68,99,19,19,0,t,1.1020580000476912,0.0670281999045983,0,19,19,60,50.728341500042006,,50.71739789994899,50.728341500042006,51.71192889998201,51.71192889998201,51.72869170003105,52.89642490004189,t,1.1020580000476912,0.0670281999045983,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
44,93,94,20,20,0,t,1.1537108999909833,0.05163360002916306,0,20,20,73,52.91159140004311,,52.90153959998861,52.91159140004311,53.91105739993509,53.91105739993509,53.91105739993509,55.12826879997738,t,1.1537108999909833,0.05163360002916306,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
91,95,72,21,21,0,t,0.8167314999736845,0.06619820010382682,0,21,21,72,55.14436959999148,,55.132748499978334,55.14436959999148,56.128263899940066,56.128263899940066,56.145248000044376,57.012887999997474,t,0.8167314999736845,0.06619820010382682,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
97,100,27,22,22,0,t,0.9797305000247434,0.06773989996872842,0,22,22,17,57.028157499968074,,57.01901409996208,57.028157499968074,58.028180700028315,58.028180700028315,58.028180700028315,59.07837090000976,t,0.9797305000247434,0.06773989996872842,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
32,66,180,23,23,0,t,0.9423363000387326,0.06702339998446405,0,23,23,84,59.0947566999821,,59.083408699953,59.0947566999821,60.07862619997468,60.07862619997468,60.095163699937984,61.09587509999983,t,0.9423363000387326,0.06702339998446405,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
45,46,44,24,24,0,t,1.0026037000352517,0.08196490001864731,0,24,24,38,61.11100309994072,,61.1014153000433,61.11100309994072,62.11102029995527,62.11102029995527,62.11102029995527,63.21237149997614,t,1.0026037000352517,0.08196490001864731,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
1,50,55,25,25,0,l,1.1927631999133155,0.06702990003395826,0,25,25,3,63.22783230000641,,63.21980570000596,63.22783230000641,64.22770559997298,64.22770559997298,64.22770559997298,65.49563619995024,l,1.1927631999133155,0.06702990003395826,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
48,99,178,26,26,0,t,2.202828999958001,0.05145830009132624,0,26,26,64,65.51094810001086,,65.50109389994759,65.51094810001086,66.51081559993327,66.51081559993327,66.51081559993327,68.77952660003211,t,2.202828999958001,0.05145830009132624,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
71,89,66,27,27,0,t,1.7914581999648362,0.07346680003684014,0,27,27,49,68.79417220002506,,68.78658670000732,68.79417220002506,69.79481390002184,69.79481390002184,69.79481390002184,71.66104319994338,t,1.7914581999648362,0.07346680003684014,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
26,86,53,28,28,0,t,1.2620010999962687,0.08730529993772507,0,28,28,78,71.67727999994531,,71.66455680003855,71.67727999994531,72.66070599993691,72.66070599993691,72.67746239993721,74.0124405999668,t,1.2620010999962687,0.08730529993772507,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
64,75,105,29,29,0,t,1.8192723999964073,0.06345969997346401,0,29,29,53,74.02806449995842,,74.0177846000297,74.02806449995842,75.02806419995613,75.02806419995613,75.02806419995613,76.9120773000177,t,1.8192723999964073,0.06345969997346401,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
40,77,158,30,30,0,t,1.58219690003898,0.06771680002566427,0,30,30,89,76.92795379995368,,76.9171433999436,76.92795379995368,77.9106066999957,77.9106066999957,77.92796060000546,79.56224280002061,t,1.58219690003898,0.06771680002566427,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
17,79,11,31,31,0,t,1.809141100035049,0.055643699946813285,0,31,31,88,79.57781010004692,,79.56833549996372,79.57781010004692,80.57789820001926,80.57789820001926,80.57789820001926,82.4448798999656,t,1.809141100035049,0.055643699946813285,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
2,36,5,32,32,0,l,1.9390640000347048,0.06191329995635897,0,32,32,95,82.46103979996406,,82.45024090004154,82.46103979996406,83.4445613999851,83.4445613999851,83.46105419995729,85.44665429997258,l,1.9390640000347048,0.06191329995635897,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
75,100,37,33,33,0,t,1.038103099912405,0.05931050004437566,0,33,33,66,85.46053989999928,,85.45252839999739,85.46053989999928,86.46046099998057,86.46046099998057,86.46046099998057,87.5616660999367,t,1.038103099912405,0.05931050004437566,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
96,100,47,34,34,0,t,1.8701299999374896,0.1233811000129208,0,34,34,90,87.57770859997254,,87.56723849999253,87.57770859997254,88.56047319993377,88.56047319993377,88.57777099998202,90.56174929998815,t,1.8701299999374896,0.1233811000129208,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
1,53,75,35,35,0,l,1.0239937000442296,0.056212899973616004,0,35,35,80,90.57760379998945,,90.56783790001646,90.57760379998945,91.577751899953,91.577751899953,91.577751899953,92.66133709996939,l,1.0239937000442296,0.056212899973616004,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
96,98,57,36,36,0,t,1.4166342000244185,0.05412179999984801,0,36,36,40,92.67744759994093,,92.66642270004377,92.67744759994093,93.67685899999924,93.67685899999924,93.67685899999924,95.1615975999739,t,1.4166342000244185,0.05412179999984801,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
22,72,51,37,37,0,t,2.3302879000548273,0.08288969995919615,0,37,37,25,95.17759620002471,,95.16712060000282,95.17759620002471,96.16080379998311,96.16080379998311,96.1776683999924,98.57816199993249,t,2.3302879000548273,0.08288969995919615,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
6,56,100,38,38,0,t,1.3911009000148624,0.08768920006696135,0,38,38,31,98.5938989999704,,98.58369320002384,98.5938989999704,99.57761309994385,99.57761309994385,99.59414639999159,101.06124840001576,t,1.3911009000148624,0.08768920006696135,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
51,96,150,39,39,0,t,1.4795786999166012,0.08918820007238537,0,39,39,34,101.07694900000934,,101.06820500001777,101.07694900000934,102.06048620003276,102.06048620003276,102.07741010002792,103.64491769997403,t,1.4795786999166012,0.08918820007238537,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
61,64,18,40,40,0,t,4.565527200000361,0.07640639995224774,0,40,40,4,103.66049349994864,,103.6505592999747,103.66049349994864,104.6441658999538,104.6441658999538,104.66073190001771,109.29480669996701,t,4.565527200000361,0.07640639995224774,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
45,83,199,41,41,0,t,2.0195651999674737,0.04675350000616163,0,41,41,19,109.31029489997309,,109.29999009997118,109.31029489997309,110.29399499995634,110.29399499995634,110.31047589995433,112.36180700000841,t,2.0195651999674737,0.04675350000616163,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
40,61,43,42,42,0,t,4.786599899991415,0.0986351000610739,0,42,42,96,112.37665450002532,,112.36773749999702,112.37665450002532,113.37705989996903,113.37705989996903,113.37705989996903,118.27810689993203,t,4.786599899991415,0.0986351000610739,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
35,83,88,43,43,0,t,1.9707212999928743,0.08180669997818768,0,43,43,16,118.29344179993495,,118.28400939994026,118.29344179993495,119.29382799996529,119.29382799996529,119.29382799996529,121.36039059993345,t,1.9707212999928743,0.08180669997818768,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
39,84,104,44,44,0,t,3.650910700089298,0.05768729990813881,0,44,44,57,121.37696469994262,,121.36492419999558,121.37696469994262,122.36018550000153,122.36018550000153,122.37700770003721,126.07752119994257,t,3.650910700089298,0.05768729990813881,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
43,76,83,45,45,0,t,1.5207760999910533,0.06178819993510842,0,45,45,67,126.0936213999521,,126.0830412999494,126.0936213999521,127.09425039996859,127.09425039996859,127.09425039996859,128.6785987999756,t,1.5207760999910533,0.06178819993510842,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
6,36,24,46,46,0,t,1.0845544000621885,0.0561012999387458,0,46,46,77,128.6929039999377,,128.68563520000316,128.6929039999377,129.69305030000396,129.69305030000396,129.69305030000396,130.8436452000169,t,1.0845544000621885,0.0561012999387458,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
28,97,79,47,47,0,t,1.4000260999891907,0.08388060005381703,0,47,47,20,130.85938409995288,,130.85193320002872,130.85938409995288,131.8434738999931,131.8434738999931,131.8603134000441,133.32852770003956,t,1.4000260999891907,0.08388060005381703,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
17,50,134,48,48,0,t,1.4418864999897778,0.042048700037412345,0,48,48,54,133.34450490004383,,133.3340329999337,133.34450490004383,134.34432759997435,134.34432759997435,134.3608914000215,135.84327559999656,t,1.4418864999897778,0.042048700037412345,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
58,88,70,49,49,0,t,0.845326199894771,0.09824720001779497,0,49,49,51,135.86043300002348,,135.84821710002143,135.86043300002348,136.84313399996608,136.84313399996608,136.85963830002584,137.79408369993325,t,0.845326199894771,0.09824720001779497,4,001,2025-11-06_17h01.46.324,Delay Discounting,,2025.1.1,60.03081979199527,2025-11-06 17h01.51.631789 +0530,
