study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Laptop ,0,0,0,1.0222222222222221,1.4037582999990263,,,,,,,,,,,,0,0,0,5,,,,,0.02786079999896174,,0.016720399999030633,0.02786079999896174,0.02786079999896174,1.4362626999991335,1.0222222222222221,1.4037582999990263,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
mouse,1,1,0,1.0222222222222221,0.32803769999918586,,,,,,,,,,,,0,1,1,8,,,,,1.4520329999995738,,1.441904399998748,1.4520329999995738,1.4520329999995738,1.7860518999987107,1.0222222222222221,0.32803769999918586,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
Poster ,2,2,0,1.0222222222222221,0.18055159999858006,,,,,,,,,,,,0,2,2,14,,,,,1.8019764999990002,,1.7899256000000605,1.8019764999990002,1.8019764999990002,1.98626669999976,1.0222222222222221,0.18055159999858006,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
board,3,3,0,1.0222222222222221,0.11236690000077942,,,,,,,,,,,,0,3,3,4,,,,,2.002082799999698,,1.990747799998644,2.002082799999698,2.002082799999698,2.1194335000000137,1.0222222222222221,0.11236690000077942,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
marble,4,4,0,1.0222222222222221,0.09906379999847559,,,,,,,,,,,,0,4,4,3,,,,,2.135770999999295,,2.12200219999977,2.135770999999295,2.135770999999295,2.236605000000054,1.0222222222222221,0.09906379999847559,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
Case,5,5,0,1.0222222222222221,0.11419840000053227,,,,,,,,,,,,0,5,5,10,,,,,2.252245199999379,,2.2411068999990675,2.252245199999379,2.252245199999379,2.370053699998607,1.0222222222222221,0.11419840000053227,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
cushion,6,6,0,1.0222222222222221,0.09502749999955995,,,,,,,,,,,,0,6,6,1,,,,,2.3854945999992196,,2.375850899999932,2.3854945999992196,2.3854945999992196,2.4867138999998133,1.0222222222222221,0.09502749999955995,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
Police,7,7,0,1.0222222222222221,0.11495350000041071,,,,,,,,,,,,0,7,7,12,,,,,2.502726900000198,,2.489395399999921,2.502726900000198,2.502726900000198,2.6196370999987266,1.0222222222222221,0.11495350000041071,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
Chart,8,8,0,1.0222222222222221,0.09939889999986917,,,,,,,,,,,,0,8,8,6,,,,,2.635423499999888,,2.6223282999999356,2.635423499999888,2.635423499999888,2.736400899999353,1.0222222222222221,0.09939889999986917,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
Cruise,9,9,0,1.0222222222222221,0.10032549999959883,,,,,,,,,,,,0,9,9,11,,,,,2.7524069999999483,,2.739680299999236,2.7524069999999483,2.7524069999999483,2.853858599999512,1.0222222222222221,0.10032549999959883,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
book,10,10,0,1.0222222222222221,0.11349440000049071,,,,,,,,,,,,0,10,10,0,,,,,2.869431600000098,,2.8561924999994517,2.869431600000098,2.869431600000098,2.986827799999446,1.0222222222222221,0.11349440000049071,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
Pastry,11,11,0,1.0222222222222221,0.11259659999996074,,,,,,,,,,,,0,11,11,9,,,,,3.0020074999993085,,2.9913931999999477,3.0020074999993085,3.0020074999993085,3.1204361000000063,1.0222222222222221,0.11259659999996074,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
phone,12,12,0,1.0222222222222221,0.11437159999877622,,,,,,,,,,,,0,12,12,2,,,,,3.1354004999993776,,3.123442000000068,3.1354004999993776,3.1354004999993776,3.2540346999994654,1.0222222222222221,0.11437159999877622,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
T-shirt,13,13,0,1.0222222222222221,0.09372639999855892,,,,,,,,,,,,0,13,13,7,,,,,3.268953499999043,,3.2604527000003145,3.268953499999043,3.268953499999043,3.3696263000001636,1.0222222222222221,0.09372639999855892,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
Keys,14,14,0,1.0222222222222221,0.11356140000134474,,,,,,,,,,,,0,14,14,13,,,,,3.3857257999989088,,3.373570399999153,3.3857257999989088,3.3857257999989088,3.5035059999991063,1.0222222222222221,0.11356140000134474,,,,,,,,,,,,,,,3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
,0,0,0,,,ta_l_,table,new ,"table
","[np.float64(-0.49444444444444446), np.float64(-0.49444444444444446), np.float64(-0.49444444444444446), np.float64(-0.14444444444444443)]","[np.float64(-0.2962962962962963), np.float64(-0.2962962962962963), np.float64(-0.2962962962962963), np.float64(-0.30833333333333335)]","[1, 0, 1, 1]","[0, 0, 0, 0]","[0, 1, 0, 0]","[0.037684999999328284, 0.18675199999961478, 0.3043875000003027, 4.302838999999949]","[None, None, None, 'submit_text']",,,,,0,0,0,15,3.5254293999987567,,,,,,,,3.5162920000002487,3.5254293999987567,3.5254293999987567,3.5254293999987567,0.012783199999830686,7.819337599999926,"table
","[np.float64(-0.49444444444444446), np.float64(-0.49444444444444446), np.float64(-0.49444444444444446), np.float64(-0.14444444444444443)]","[np.float64(-0.2962962962962963), np.float64(-0.2962962962962963), np.float64(-0.2962962962962963), np.float64(-0.30833333333333335)]","[1, 0, 1, 1]","[0, 0, 0, 0]","[0, 1, 0, 0]","[0.037684999999328284, 0.18675199999961478, 0.3043875000003027, 4.302838999999949]","[None, None, None, 'submit_text']",3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
,1,1,0,,,P_li_e,Police,old,police,[np.float64(-0.14444444444444443)],[np.float64(-0.30833333333333335)],[1],[0],[0],[2.580958399999872],['submit_text'],,,,,0,1,1,7,7.835423499998797,,,,,,,,7.822054999998727,7.835423499998797,7.835423499998797,7.835423499998797,0.0024854999992385274,10.403323999998975,police,[np.float64(-0.14444444444444443)],[np.float64(-0.30833333333333335)],[1],[0],[0],[2.580958399999872],['submit_text'],3,001,2025-10-16_10h39.25.875,word priming,,2025.1.1,60.11186818673427,2025-10-16 10h39.31.030345 +0530,
